Software Engineer  JavaScript,594901,10112803,https://www.dice.com/jobs/detail/10001/10112803/594901,"New York, NY","IAC Publishing,",Posted 3 weeks ago
UI/JavaScript Developer - Trading Solutions,49734,10432313,https://www.dice.com/jobs/detail/10001/10432313/49734,"New York, NY","Bloomberg L.P.,",Posted 4 hours ago
Javascript Engineer,282103,10287265,https://www.dice.com/jobs/detail/10036/10287265/282103,"New York, NY","Logic,",Posted 2 days ago
Multimedia Javascript Developer,609037,RTX180053,https://www.dice.com/jobs/detail/10018/RTX180053/609037,"New York, NY","Optimatic,",Posted 1 week ago
Web Developer: PHP MySQL Javascript,260129,90827581,https://www.dice.com/jobs/detail/10036/90827581/260129,"New York, NY","2 Bridge Partners,",Posted 5 days ago
Senior Javascript Engineer,515260,10335702,https://www.dice.com/jobs/detail/10011/10335702/515260,"New York City, NY","Knewton,",Posted 2 days ago
Technical Lead /Javascript PHP,611320,10287265,https://www.dice.com/jobs/detail/10036/10287265/611320,"New York, NY","Logic,",Posted 2 days ago
HTML5/Javascript Developers for e-trading,490_3588,appblok,https://www.dice.com/jobs/detail/10001/appblok/490_3588,"New York, NY","Infusion,",Posted 6 hours ago
Senior Javascript Engineers,359979,10287265,https://www.dice.com/jobs/detail/10036/10287265/359979,"New York, NY","Logic,",Posted 2 days ago
Sr. Software Developer - Javascript,JD0715,10451021,https://www.dice.com/jobs/detail/07302/10451021/JD0715,"Jersey City, NJ","Technomax LLC,",Posted 21 hours ago
"UI Developer with JavaScript, AngularJS with UI Integration",2016-06-01,10230239,https://www.dice.com/jobs/detail/10001/10230239/2016-06-01,"New York City, NY","Galax-Esystems Corp,",Posted 51 minutes ago
Tech Lead/ Angular Javascript,467541,10287265,https://www.dice.com/jobs/detail/10036/10287265/467541,"New York, NY","Logic,",Posted 2 days ago
Senior Front-End JavaScript Developer - NYC Startup (160K+),MF453088628,10116662,https://www.dice.com/jobs/detail/10001/10116662/MF453088628,"New York, NY","Gambit Technologies,",Posted 1 hour ago
Front-End JavaScript Engineer - NYC Tech Firm (140-200K),MF12804133,10116662,https://www.dice.com/jobs/detail/10001/10116662/MF12804133,"New York, NY","Gambit Technologies,",Posted 2 hours ago
Senior Software Engineer (JavaScript frameworks),ES1-130149612,cybercod,https://www.dice.com/jobs/detail/10001/cybercod/ES1-130149612,"New York, NY","CyberCoders,",Posted 30 minutes ago
"Senior Full Stack Developer - ASP.NET, C#, JavaScript",CW1-128493423,cybercod,https://www.dice.com/jobs/detail/07030/cybercod/CW1-128493423,"Hoboken, NJ","CyberCoders,",Posted 46 minutes ago
"Front End Developer - JavaScript, JQuery, HTML/CSS",CW1-130140912,cybercod,https://www.dice.com/jobs/detail/07030/cybercod/CW1-130140912,"Hoboken, NJ","CyberCoders,",Posted 26 minutes ago
"JavaScript, React,  Node",react,10374913,https://www.dice.com/jobs/detail/10012/10374913/react,"New York, NY","Infomerica, Inc,",Posted 6 days ago
Javascript / HTML Developer,586262,10111699,https://www.dice.com/jobs/detail/10039/10111699/586262,"New York, NY","Synechron Inc.,",Posted 6 days ago
"Full-Stack Developer - PHP, CMS & JavaScript Frameworks",EC3-127658524,cybercod,https://www.dice.com/jobs/detail/10001/cybercod/EC3-127658524,"New York, NY","CyberCoders,",Posted 1 hour ago
Front-end / UI Developer - JavaScript / HTML5,RK2-129999017,cybercod,https://www.dice.com/jobs/detail/10001/cybercod/RK2-129999017,"New York, NY","CyberCoders,",Posted 32 minutes ago
JavaScript Front End Developer,0410,ndi,https://www.dice.com/jobs/detail/10007/ndi/0410,"New York, NY","eclaro,",Posted 24 hours ago
Senior JavaScript Engineer - Emerging Urban Spaces Startup,KG1-13023637,cybercod,https://www.dice.com/jobs/detail/10001/cybercod/KG1-13023637,"New York, NY","CyberCoders,",Posted 56 minutes ago
"UI Developer - HTML5, CSS3, JavaScript",JA1-129426614,cybercod,https://www.dice.com/jobs/detail/07054/cybercod/JA1-129426614,"Parsippany, NJ","CyberCoders,",Posted 55 minutes ago
JavaScript Developer - MEAN Stack,JL2-128720822,cybercod,https://www.dice.com/jobs/detail/10001/cybercod/JL2-128720822,"New York, NY","CyberCoders,",Posted 51 minutes ago
Javascript Engineer- Data Analytics,IM-JSE-67,10294672,https://www.dice.com/jobs/detail/10018/10294672/IM-JSE-67,"New York, NY","Futures Group IT LLC.,",Posted 2 weeks ago
UI Developer CSS3 HTML5 JavaScript Trading Finance Jersey City New Je,JSUIDEV,10528254,https://www.dice.com/jobs/detail/07304/10528254/JSUIDEV,"Jersey City, NJ","Joseph Harry Ltd,",Posted 3 weeks ago
ASP.NET Developer with HTML/JavaScript,909133,carny003,https://www.dice.com/jobs/detail/10017/carny003/909133,"New York, NY","Career Management Associates,",Posted 4 weeks ago
Javascript Developer,4174,10180559,https://www.dice.com/jobs/detail/10017/10180559/4174,"New York, NY","DBI Staffing,",Posted 7 days ago
UI/JavaScript Developer,16-04766,gentx001,https://www.dice.com/jobs/detail/10001/gentx001/16-04766,"New York, NY","Genesis10,",Posted 13 hours ago
