title,company,link,location,date,company_id,job_id
Direct client : Lead  Ruby on Rails,"Sunera Technologies,","https://www.dice.com/jobs/detail/Direct-client-%3A-Lead--Ruby-on-Rails-Sunera-Technologies-Dulles-VA-20101/10117130/SP-RR-VA?icid=sr21-1p&q=rails&l=Washington, DC","Dulles, VA",12-22-2016,10117130,SP-RR-VA
Software Developer,"United Service Organizations,","https://www.dice.com/jobs/detail/Software-Developer-United-Service-Organizations-Arlington-VA-22201/RTX185eaf/4792733?icid=sr22-1p&q=rails&l=Washington, DC","Arlington, VA",12-18-2016,RTX185eaf,4792733
Frontend Developer,"Integrated Systems, Inc.,","https://www.dice.com/jobs/detail/Frontend-Developer-Integrated-Systems%2C-Inc.-Vienna-VA-22182/10119700/807332?icid=sr23-1p&q=rails&l=Washington, DC","Vienna, VA",12-15-2016,10119700,807332
Backend Developer,"Integrated Systems, Inc.,","https://www.dice.com/jobs/detail/Backend-Developer-Integrated-Systems%2C-Inc.-Vienna-VA-22182/10119700/807339?icid=sr24-1p&q=rails&l=Washington, DC","Vienna, VA",12-15-2016,10119700,807339
Sr. DevOps Developer,"Integrated Systems, Inc.,","https://www.dice.com/jobs/detail/Sr.-DevOps-Developer-Integrated-Systems%2C-Inc.-Vienna-VA-22182/10119700/807353?icid=sr25-1p&q=rails&l=Washington, DC","Vienna, VA",12-14-2016,10119700,807353
Agile Development DBA,"Integrated Systems, Inc.,","https://www.dice.com/jobs/detail/Agile-Development-DBA-Integrated-Systems%2C-Inc.-Vienna-VA-22182/10119700/807364?icid=sr26-1p&q=rails&l=Washington, DC","Vienna, VA",12-14-2016,10119700,807364
Full Stack Software Engineer,"CyberCoders,","https://www.dice.com/jobs/detail/Full-Stack-Software-Engineer-CyberCoders-Washington-DC-20001/cybercod/CB2-115495814?icid=sr27-1p&q=rails&l=Washington, DC","Washington, DC",12-22-2016,cybercod ,CB2-115495814
"Front End Developer - Angular, Node, AWS","CyberCoders,","https://www.dice.com/jobs/detail/Front-End-Developer-%26%2345-Angular%2C-Node%2C-AWS-CyberCoders-Arlington-VA-22201/cybercod/SE1-132583560?icid=sr28-1p&q=rails&l=Washington, DC","Arlington, VA",12-22-2016,cybercod ,SE1-132583560
Software Engineer,"Advent Global Solutions, Inc.,","https://www.dice.com/jobs/detail/Software-Engineer-Advent-Global-Solutions%2C-Inc.-Reston-VA-20190/agsinc/814505?icid=sr29-1p&q=rails&l=Washington, DC","Reston, VA",12-21-2016,agsinc,814505
Front End Developer,"Pro-Sphere Tek, Inc.,","https://www.dice.com/jobs/detail/Front-End-Developer-Pro%26%2345Sphere-Tek%2C-Inc.-Washington-DC-20009/10384526/756171?icid=sr30-1p&q=rails&l=Washington, DC","Washington, DC",12-21-2016,10384526,756171
