HF-1228313,"Ruby on Rails Developer - AngularJS, Ruby on Rails, Bootstrap",CyberCoders,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-%26%2345-AngularJS%2C-Ruby-on-Rails%2C-Bootstrap-CyberCoders-New-York-NY-10001/cybercod/HF-1228313,"New York, NY","<title>Ruby on Rails Developer - AngularJS, Ruby on Rails, Bootstrap - CyberCoders - New York, NY - 08-16-2015 | Dice.com</title>","[""08-16-2015 ""]",cybercod
QH1-1228120,Front End Developer (Ruby on Rails),CyberCoders,https://www.dice.com/jobs/detail/Front-End-Developer-%28Ruby-on-Rails%29-CyberCoders-New-York-NY-10001/cybercod/QH1-1228120,"New York, NY","<title>Front End Developer (Ruby on Rails) - CyberCoders - New York, NY - 08-16-2015 | Dice.com</title>","[""08-16-2015 ""]",cybercod
056881,Ruby on Rails developer,answerQuest,https://www.dice.com/jobs/detail/Ruby-on-Rails-developer-answerQuest-Manhattan-NY-10001/10118116a/056881,"Manhattan, NY","<title>Ruby on Rails developer - answerQuest - Manhattan, NY - 08-06-2015 | Dice.com</title>","[""08-06-2015 ""]",10118116a
15-00167,Ruby on Rails Developer,"Blue Horizon Tek Solutions, Inc.",https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-Blue-Horizon-Tek-Solutions%2C-Inc.-White-Plains-NY-10601/10528858/15-00167,"White Plains, NY","<title>Ruby on Rails Developer - Blue Horizon Tek Solutions, Inc. - White Plains, NY - 08-12-2015 | Dice.com</title>","[""08-12-2015 ""]",10528858
GV_Ruby,Ruby on Rails,Nutech Information Systems,https://www.dice.com/jobs/detail/Ruby-on-Rails-Nutech-Information-Systems-New-York-City-NY-10001/10099574/GV_Ruby,"New York City, NY","<title>Ruby on Rails - Nutech Information Systems - New York City, NY - 08-13-2015 | Dice.com</title>","[""08-13-2015 ""]",10099574
CO1-12232313,"Ruby on Rails Software Engineer - Ruby on Rails, API Design, SOA",CyberCoders,https://www.dice.com/jobs/detail/Ruby-on-Rails-Software-Engineer-%26%2345-Ruby-on-Rails%2C-API-Design%2C-SOA-CyberCoders-New-York-NY-10001/cybercod/CO1-12232313,"New York, NY","<title>Ruby on Rails Software Engineer - Ruby on Rails, API Design, SOA - CyberCoders - New York, NY - 08-16-2015 | Dice.com</title>","[""08-16-2015 ""]",cybercod
JR5-12233773,Ruby on Rails Developer,CyberCoders,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-CyberCoders-Troy-NY-12180/cybercod/JR5-12233773,"Troy, NY","<title>Ruby on Rails Developer - CyberCoders - Troy, NY - 08-16-2015 | Dice.com</title>","[""08-16-2015 ""]",cybercod
CJ1-1228292,"Mid Level Full Stack Agile Developer - Ruby on Rails, JavaScript",CyberCoders,https://www.dice.com/jobs/detail/Mid-Level-Full-Stack-Agile-Developer-%26%2345-Ruby-on-Rails%2C-JavaScript-CyberCoders-New-York-NY-10001/cybercod/CJ1-1228292,"New York, NY","<title>Mid Level Full Stack Agile Developer - Ruby on Rails, JavaScript - CyberCoders - New York, NY - 08-16-2015 | Dice.com</title>","[""08-16-2015 ""]",cybercod
SM3-1228332,Ruby on Rails Engineer -,CyberCoders,https://www.dice.com/jobs/detail/Ruby-on-Rails-Engineer-%26%2345-CyberCoders-New-York-NY-10001/cybercod/SM3-1228332,"New York, NY","<title>Ruby on Rails Engineer - - CyberCoders - New York, NY - 08-16-2015 | Dice.com</title>","[""08-16-2015 ""]",cybercod
CP3-120991912,"Ruby on Rails Software Developer - Ruby on Rails, PostgreSQL",CyberCoders,https://www.dice.com/jobs/detail/Ruby-on-Rails-Software-Developer-%26%2345-Ruby-on-Rails%2C-PostgreSQL-CyberCoders-New-York-NY-10001/cybercod/CP3-120991912,"New York, NY","<title>Ruby on Rails Software Developer - Ruby on Rails, PostgreSQL - CyberCoders - New York, NY - 08-16-2015 | Dice.com</title>","[""08-16-2015 ""]",cybercod
