Full Stack Engineer - Ruby on Rails,CyberCoders,"https://www.dice.com/jobs/detail/Full-Stack-Engineer-%26%2345-Ruby-on-Rails-CyberCoders-San-Francisco-CA-94101/cybercod/KO-121910711?icid=sr18-1p&q=ruby&l=San%20Francisco,%20CA","San Francisco, CA",09-20-2015,cybercod,KO-121910711
Sr. Software Engineer _ROR/RUBY,Randstad Technologies,"https://www.dice.com/jobs/detail/Sr.-Software-Engineer-_ROR%26%2347RUBY-Randstad-Technologies-San-Carlos-CA-94070/10115700b/440232?icid=sr19-1p&q=ruby&l=San%20Francisco,%20CA","San Carlos, CA",09-20-2015,10115700b,440232
"Senior Software Engineer - Ember.js, Ruby, API's",CyberCoders,"https://www.dice.com/jobs/detail/Senior-Software-Engineer-%26%2345-Ember.js%2C-Ruby%2C-API%27s-CyberCoders-San-Francisco-CA-94101/cybercod/CP3-12284455?icid=sr20-1p&q=ruby&l=San%20Francisco,%20CA","San Francisco, CA",09-20-2015,cybercod,CP3-12284455
Senior Automation Engineer - Ruby,CyberCoders,"https://www.dice.com/jobs/detail/Senior-Automation-Engineer-%26%2345-Ruby-CyberCoders-Menlo-Park-CA-94025/cybercod/BJ1-119946325?icid=sr21-1p&q=ruby&l=San%20Francisco,%20CA","Menlo Park, CA",09-20-2015,cybercod,BJ1-119946325
Senior Back-End Engineer - Ruby on Rails / AWS / MySql,CyberCoders,"https://www.dice.com/jobs/detail/Senior-Back%26%2345End-Engineer-%26%2345-Ruby-on-Rails-%26%2347-AWS-%26%2347-MySql-CyberCoders-San-Francisco-CA-94101/cybercod/DK2-1235764?icid=sr22-1p&q=ruby&l=San%20Francisco,%20CA","San Francisco, CA",09-20-2015,cybercod,DK2-1235764
Ruby on Rails Developer - Enterprise solutions,CyberCoders,"https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-%26%2345-Enterprise-solutions-CyberCoders-San-Francisco-CA-94101/cybercod/TZ1-1235546?icid=sr23-1p&q=ruby&l=San%20Francisco,%20CA","San Francisco, CA",09-20-2015,cybercod,TZ1-1235546
Software Developer (Willing to learn Ruby on Rails),CyberCoders,"https://www.dice.com/jobs/detail/Software-Developer-%28Willing-to-learn-Ruby-on-Rails%29-CyberCoders-San-Francisco-CA-94101/cybercod/LL2-12298724?icid=sr24-1p&q=ruby&l=San%20Francisco,%20CA","San Francisco, CA",09-20-2015,cybercod,LL2-12298724
"Senior Ruby on Rails Developer- Ruby on Rails, GO, REST API",CyberCoders,"https://www.dice.com/jobs/detail/Senior-Ruby-on-Rails-Developer%26%2345-Ruby-on-Rails%2C-GO%2C-REST-API-CyberCoders-San-Francisco-CA-94101/cybercod/HF-12162243?icid=sr25-1p&q=ruby&l=San%20Francisco,%20CA","San Francisco, CA",09-20-2015,cybercod,HF-12162243
"Full Stack Ruby Developer - Ruby on Rails, EHR/EMR & Healthcare",CyberCoders,"https://www.dice.com/jobs/detail/Full-Stack-Ruby-Developer-%26%2345-Ruby-on-Rails%2C-EHR%26%2347EMR-%26-Healthcare-CyberCoders-San-Francisco-CA-94101/cybercod/CO1-12346231?icid=sr26-1p&q=ruby&l=San%20Francisco,%20CA","San Francisco, CA",09-20-2015,cybercod,CO1-12346231
"QA Engineer - Selenium/Watir, Java/Ruby",CyberCoders,"https://www.dice.com/jobs/detail/QA-Engineer-%26%2345-Selenium%26%2347Watir%2C-Java%26%2347Ruby-CyberCoders-Menlo-Park-CA-94025/cybercod/BJ1-116941048?icid=sr27-1p&q=ruby&l=San%20Francisco,%20CA","Menlo Park, CA",09-20-2015,cybercod,BJ1-116941048
