Cloud Platform Engineer,"San Jose, CA","Sacc, Inc.",2016-01-14,saccinc,338291,https://www.dice.com/jobs/detail/Cloud-Platform-Engineer-Sacc%2C-Inc.-San-Jose-CA-95134/saccinc/338291?icid=sr21-1p&q=ruby&l=San Jose
Full Stack Developer,"San Jose, CA",Flashiiapp,2016-01-18,90920738,281525,https://www.dice.com/jobs/detail/Full-Stack-Developer-Flashiiapp-San-Jose-CA-95113/90920738/281525?icid=sr22-1p&q=ruby&l=San Jose
DevOps Engineer,"San Jose, CA",Flashiiapp,2016-01-18,90920738,281514,https://www.dice.com/jobs/detail/DevOps-Engineer-Flashiiapp-San-Jose-CA-95113/90920738/281514?icid=sr23-1p&q=ruby&l=San Jose
Apache Administrator,"San Jose, CA",Advans IT..,2016-01-18,RTL367411,363422,https://www.dice.com/jobs/detail/Apache-Administrator-Advans-IT-Services-San-Jose-CA-95101/RTL367411/363422?icid=sr24-1p&q=ruby&l=San Jose
Cloud DevOps Engineer,"San Jose, CA",Randstad T..,2016-01-18,10115700a,460950,https://www.dice.com/jobs/detail/Cloud-DevOps-Engineer-Randstad-Technologies-San-Jose-CA-95134/10115700a/460950?icid=sr25-1p&q=ruby&l=San Jose
NOC Systems Engineer III,"San Jose, CA",OpenBox So..,2015-12-21,10116442,UK_9874,https://www.dice.com/jobs/detail/NOC-Systems-Engineer-III-OpenBox-Solutions%2C-Inc.-San-Jose-CA-95101/10116442/UK_9874?icid=sr26-1p&q=ruby&l=San Jose
Cloud Applications Engineer,"San Jose, CA","Sacc, Inc.",2016-01-14,saccinc,338285,https://www.dice.com/jobs/detail/Cloud-Applications-Engineer-Sacc%2C-Inc.-San-Jose-CA-95134/saccinc/338285?icid=sr27-1p&q=ruby&l=San Jose
Front End Developer,"San Jose, CA",Flashiiapp,2016-01-18,90920738,281530,https://www.dice.com/jobs/detail/Front-End-Developer-Flashiiapp-San-Jose-CA-95113/90920738/281530?icid=sr28-1p&q=ruby&l=San Jose
Java  developer- Backend-  (LOCALS ONLY),"San Jose, CA",Meridianse..,2016-01-11,10510763,351392,https://www.dice.com/jobs/detail/Java--developer%26%2345-Backend%26%2345--%28LOCALS-ONLY%29-Meridianservices-LLC.-San-Jose-CA-95131/10510763/351392?icid=sr29-1p&q=ruby&l=San Jose
Cloud Reliability Engineer (DevOps),"San Jose, CA",Capital Ma..,2016-01-18,10120548,3542,https://www.dice.com/jobs/detail/Cloud-Reliability-Engineer-%28DevOps%29-Capital-Markets-Placement-San-Jose-CA-95002/10120548/3542?icid=sr30-1p&q=ruby&l=San Jose
