Job Title,Company,Location,Date Posted,Company ID,Post ID,URL
Ruby Developer,Net Matrix Solutions,"San Francisco, CA",11-14-2016,10115106,832,https://www.dice.com/jobs/detail/Ruby-Developer-Net-Matrix-Solutions-San-Francisco-CA-94105/10115106/832?icid=sr24-1p&q=ruby developer&l=
Sr. Backend Ruby Developer,VIA Technical,"San Diego, CA",11-04-2016,90922343,742211,https://www.dice.com/jobs/detail/Sr.-Backend-Ruby-Developer-VIA-Technical-San-Diego-CA-92121/90922343/742211?icid=sr25-1p&q=ruby developer&l=
UI/Ruby Developer,"Apex Systems, Inc","Seattle, WA",11-07-2016,apexsan,765524,https://www.dice.com/jobs/detail/UI%26%2347Ruby-Developer-Apex-Systems%2C-Inc-Seattle-WA-98105/apexsan/765524?icid=sr26-1p&q=ruby developer&l=
Ruby Rockstar Developer,Hyatt Leader,"Denver, CO",11-14-2016,hyattldr,760529,https://www.dice.com/jobs/detail/Ruby-Rockstar-Developer-Hyatt-Leader-Denver-CO-80217/hyattldr/760529?icid=sr27-1p&q=ruby developer&l=
Ruby Developer,Collabera,"Glendale, CA",11-09-2016,gci,4522_RubyDev_CA,https://www.dice.com/jobs/detail/Ruby-Developer-Collabera-Glendale-CA-91201/gci/4522_RubyDev_CA?icid=sr28-1p&q=ruby developer&l=
Ruby Developer,VMD Systems Integrators Inc,"Washington, DC",11-04-2016,10112473,763695,https://www.dice.com/jobs/detail/Ruby-Developer-VMD-Systems-Integrators-Inc-Washington-DC-20005/10112473/763695?icid=sr29-1p&q=ruby developer&l=
Ruby Developer,Flexton Inc,"San Francisco, CA",11-10-2016,10282686,751406,https://www.dice.com/jobs/detail/Ruby-Developer-Flexton-Inc-San-Francisco-CA-94115/10282686/751406?icid=sr30-1p&q=ruby developer&l=
Sr. Java / Ruby developer,Ecore Inc.,"Holmdel, NJ",10-20-2016,10123022,717307,https://www.dice.com/jobs/detail/Sr.-Java-%26%2347-Ruby-developer-Ecore-Inc.-Holmdel-NJ-07733/10123022/717307?icid=sr31-1p&q=ruby developer&l=
Ruby Developer,Redstream Technology,"New York, NY",11-14-2016,10228510,1519,https://www.dice.com/jobs/detail/Ruby-Developer-Redstream-Technology-New-York-NY-10022/10228510/1519?icid=sr32-1p&q=ruby developer&l=
Senior Ruby Developer - $120k,ConSol Partners,"Marina Del Rey, CA",11-10-2016,90692435,771552,https://www.dice.com/jobs/detail/Senior-Ruby-Developer-%26%2345-%24120k-ConSol-Partners-Marina-Del-Rey-CA-90292/90692435/771552?icid=sr33-1p&q=ruby developer&l=
Ruby Developers - $160k+,CyberCoders,"Boston, MA",11-14-2016,cybercod,RN2-132588321,https://www.dice.com/jobs/detail/Ruby-Developers-%26%2345-%24160k%2B-CyberCoders-Boston-MA-02108/cybercod/RN2-132588321?icid=sr34-1p&q=ruby developer&l=
Sr. Ruby Developer Needed for SM Robotics...,CyberCoders,"Santa Monica, CA",11-14-2016,cybercod,LL2-1284189134,https://www.dice.com/jobs/detail/Sr.-Ruby-Developer-Needed-for-SM-Robotics-Start%26%2345up%21-CyberCoders-Santa-Monica-CA-90401/cybercod/LL2-1284189134?icid=sr35-1p&q=ruby developer&l=
Ruby Developer - $$$ - Web +...,CyberCoders,"San Francisco, CA",11-14-2016,cybercod,EG-132639119,https://www.dice.com/jobs/detail/Ruby-Developer-%26%2345-%24%24%24-%26%2345-Web-%2B-Mobile-Consumer-Product-Company%21-CyberCoders-San-Francisco-CA-94101/cybercod/EG-132639119?icid=sr36-1p&q=ruby developer&l=
"Ruby Developer @ Richfield, MN","Puresoft, Inc.","Richfield, MN",11-11-2016,10123319,768626,https://www.dice.com/jobs/detail/Ruby-Developer-%40-Richfield%2C-MN-Puresoft%2C-Inc.-Richfield-MN-55423/10123319/768626?icid=sr37-1p&q=ruby developer&l=
Ruby Developer (direct client),Novateur Technologies Inc.,"Santa Monica, CA",11-14-2016,90938793,752263,https://www.dice.com/jobs/detail/Ruby-Developer-%28direct-client%29-Novateur-Technologies-Inc.-Santa-Monica-CA-90410/90938793/752263?icid=sr38-1p&q=ruby developer&l=
Ruby Developer - 5 Openings,"APN Software Services, Inc","Round Rock, TX",11-14-2016,apn,Ruby_0766,https://www.dice.com/jobs/detail/Ruby-Developer-%26%2345-5-Openings-APN-Software-Services%2C-Inc-Round-Rock-TX-78665/apn/Ruby_0766?icid=sr39-1p&q=ruby developer&l=
