web前端（中高级）,北京新汽联科技有限公司,面议24小时反馈,北京-朝阳区,     优汽（UQI）利用互联网技术整合汽车产业信息和交易，以为全球汽车人服务为使命，聚集了来自互联网和汽车行业的高管，致力于打造服务汽修门店管理和交易的平台，通过互联网思维，和自行研发并具有自己知识产权的SASS产品优汽磐石系统为汽配供应链中的各个环节提供互联网解决方案，以场景方式实现了配件产品溯源追踪、配件车辆实时定位、伙伴会员的经营管理及数据分析，并通过云端完成大数据的采集，致力于传统汽配渠道供应链的再造。提升汽修门店的竞争力，完善客户管理。
web前端讲师,成都麦子信息技术有限公司,18-30万72小时反馈,北京-海淀区,"  成都麦子信息技术有限公司（简称“麦子学院”）于2012年正式挂牌成立，是全国最大的IT综合性服务社区，国内B2C高端IT在线教育平台，在美国硅谷、北京也设有研发办事处中心，做最用心、最前沿也是最专业的IT在线教育。更是全国首家进驻美国硅谷的IT在线职业教育机构。   麦子学院全国首创自学班和企业直通班(O2W)，自主研发LPS在线学习过程系统，重新定义在线教育，加强学习监控与考核，确保学习效果；自主版权课程超5000小时，覆盖IT大部分领域，APP覆盖所有移动终端，拥有30W在线会员。   麦子学院做在线职业教育示范学院，将教育和课程做到极致。除了提供高质量的课程学习之外，也提供包括就业推荐，职业交友，项目外包，创业服务等全面的增值服务，并且线上线下结合，移动设备和传统网络相结合，打造IT职业教育的一个完整生态链。   2014年，麦子学院完成千万级A轮融资，并荣获“2014新浪中国教育盛典最具口碑影响力在线教育机构”和“2014回响中国?腾讯年度教育盛典最具创新力在线教育品牌”称号。   追求共同发展是我们的永恒目标。我们重视合作伙伴，共同面对问题，努力达到一种双赢的局面；公司重视公司目标与员工发展相一致，并由此达到公司与员工共同发展的目的, 希望通过公司的发展，促进公司与社会的共同发展。 公司主页：www.maiziedu.com我们的价值观 1.将教育做到极致。 2.提供的不仅仅是技能培养。 3.以高端人才培养及服务为核心。 4.探索及倡导模式创新,流程再造。 5.做教育，不以盈利为第一目的。 6.拓展会员职业人脉，打造生态圈子。"
web前端工程师,微云保贝网络科技有限公司,18-24万48小时反馈,北京-朝阳区,微云保贝网络科技有限公司成立于2015年6月，注册资金5000万元人民币。公司定位是一家具有互联网精神、将B2B（服务于保险代理人）业务和B2C（服务于终端消费者）业务有机融合的保险020云服务平台运营商。公司管理团队具有财险、寿险、互联网保险以及保险IT深厚的行业背景，具有丰富的保险业界资源，具有以员工为本的团队管理思想，具有把“用户体验做到极致”的服务理念，并将互联网思想与先进IT技术进行了高度融合。公司平台名称为”微云保贝”（www.99weiyun.com），意即基于移动互联网的金融保险云服务平台。以互联网的思维对保险产品和服务进行再造和再运营，同时将保险产品和服务通过互联网进行优化和落地。“微云保贝”云服务平台最大的价值是将C端（终端消费者）和B端（保险代理人）有机的融合，使线上终端消费者在购买复杂保险产品（长期人寿险和健康险等）时，有保险代理人进行专业咨询服务；使终端消费者在有服务需求（理赔、给付、车险维修保养等）时，有保险代理人或平台其他合作商（如汽车维修商）提供标准化服务。现阶段，保险产品内容和定价同质化现象很严重，消费者普遍对保险服务不甚满意，而为消费者提供满意的服务正是平台的出发点和落脚点。
高级前端开发工程师,北京秀我科技有限公司,面议5天内反馈,北京-朝阳区,北京秀我科技，是一家戴着理想主义的高帽子，有着牛叉创业者背景的新锐移动互联网公司，扎根上地，百度下面，滴滴隔壁。天时地利人和占了一大半，立志成为沉闷的中国移动互联网搅局者，从2个人北漂到15个人用了15天，恩，毫无疑问，到50个人我们大约就是50天，请关注速度，一定要抢先加入，请立即招收拦车打的过来，我们在上地五街方正大厦附楼三层。越晚来越吃亏啊。不要再去BAT做填鸭式程序员了，不要在去中关村加入传销级公司了，秀我的成长性最适合您。
前端开发工程师00325,北京暴风魔镜科技有限公司,18-23万24小时反馈,北京,暴风魔镜是业界领先并专注于移动端的虚拟现实（Virtual Reality）企业，目前已在全球范围内拥有最大的用户规模，是全球第一家实现虚拟现实设备量产的公司。暴风魔镜认为VR 和AR将是下一个具有革命性意义的互联网趋势的核心，从创立之初就以产业布局为视角，努力推动整个行业发展，致力于为用户提供最好的虚拟现实体验，立足中国打造全球领先的虚拟现实企业。暴风魔镜是全球唯一一家具有最全面的综合性虚拟现实产业链平台的虚拟现实企业，其产品及业务涵盖VR硬件、VR&AR软件、开发平台、应用分发市场、收费及广告商业平台等。暴风魔镜公司推出的硬件产品涉及手机嵌入式虚拟现实头盔、一体机、线下体验机、全景拍摄设备等；基础软件包括适配配合VR头盔使用的安卓/iOS桌面系统；移动应用则包括自研的影院、漫游、UGC、PGC、SNS、SNG、三维以及AR等基础应用平台。暴风魔镜已经成为中国大部分VR游戏、全景等内容应用的合作连接中心并拥有大量独家合作资源。暴风魔镜成立的VR产业基金是中国第一家专注于VR产业的投资基金，目前已经投资了包括虚拟现实影视内容制作公司等在内的多家虚拟现实企业。
高级前端开发工程师,北京智慧图科技有限责任公司,18-30万72小时反馈,北京,智慧图，场景运营服务的领导者智慧图是全球领先的场景互动服务提供商，2015年通过全国近万家商场、超市与便利店合作，成为场景运营服务的领导者。创新、专业、专注是智慧图不变的理念，为用户提供最好的位置服务是智慧图不懈的追求。二、三大场景运营服务模式1、商场场景运营服务智慧图通过为商场提供场内速递、停车找车、积分换购、会员尊享服务等手段，激活和唤醒会员及潜在用户，增加商场顾客的粘黏度。同时，还提供红包、优惠、大屏弹幕、AR游戏、双屏互动游戏等线上线下互动营销模板。智慧图以活动为手段，以创造个性化的服务为基础，帮助商场实现客群互动、引流，让消费者真正体验到智慧场景的服务之旅。2、超市与便利店场景运营服务通过消费者在超市与便利店场景购物，设置多重互动营销形式。顾客在超市或便利店内Beacon物联网覆盖到的地方通过微信摇一摇，便可获得预设发送的商品类优惠券、现金红包，超市或便利店的LOGO、微信关注公众号以及超市或便利店预设的抽奖、刮刮卡等活动，实现消费转化。3、机场场景运营服务以旅客为中心，整合并场景化透出线下服务，连接旅客，打造出行新体验。为机场提供旅客尊享服务 、CIP通道和休息室、场内电瓶车服务、行礼跟踪、场内速递、停车找车、地图导航、出行礼包、互动游戏等服务，打造智慧交通枢纽场景服务。四、多渠道营销平台通过异业合作，对接超级APP等多种渠道，将客流引向购物中心内部或周边超市与便利店。场景服务平台对接大众点评、腾讯地图等超级APP计23家，月访问量1.74亿人次。为商场、超市/便利店提供包括移动官网、情景感知、O2O互动／引流、团购、大数据分析等诸多行业产品在内的一整套营销策划解决方案，开拓面向未来的商业O2O模式，打造全新的会员积分体系。
WEB前端开发工程师,迪原创新(北京)科技有限公司,20-25万5天内反馈,北京-西城区,中文简介：迪原创新是一家全球软件研发服务企业，2010年成立至今，在中国北京、南京及美国西雅图设立办公机构，吸引超过200位行业精英，为全球客户提供全面灵活的产品质量保证与测试解决方案，帮助企业改善产品质量，提升用户体验。迪原创新通过建立离岸/在岸/近岸测试中心，提供专家咨询、构架质量体系、建立测试团队等多种灵活服务模式，帮助客户在技术、流程和管理上实现深度优化，利用多年积累的软件测试行业经验、开源技术、创新方法和思维，为国内外客户提供专业的软件测试与技术咨询服务。迪原创新立足北京、服务全球，为全球多个国家和地区的客户提供世界一流的研发服务，包括互联网、软件、金融、医疗、社交媒体、文化教育产业等诸多行业领域。在提供软件测试服务方面，迪原创新不仅充当了具有国际视野的技术专家的角色，更为客户执行严格的风险规避流程，专注效率与质量，持续提供专业的项目管理和卓越的交付能力。迪原创新从创立初期就坚持奉行与客户一起成功的价值观，把客户的利益与成功放在第一位。与此同时，迪原创新独特的人才管理机制、强大的客户沟通能力以及丰富的专业技术经验都使之优于行业对手。
高级web前端工程师,北京海誉动想科技股份有限公司,18-30万5天内反馈,北京,公司简介：北京海誉动想科技股份有限公司（简称：海马玩，公司网址：www.haimawan.com）成立于2013年，位于北京市朝阳区阜通东大街1号院望京SOHO T3 B座 45层，是全球唯一一家全平台覆盖的手游企业，汇聚了来自国内外顶尖互联网公司的精英人士。 海马玩旗下涵盖了：海马玩模拟器（http://droid4x.haimawan.com）:海马玩模拟器(Droid4X)是迄今为止在性能，兼容性和操控体验方面最好的安卓模拟器；通过Droid4X，用户可以在PC上享受百万移动应用和游戏带来的全新体验；海马苹果助手(http://zhushou.haimawan.com)：iphone不需越狱装正版，android金币无限任你玩；同时还包含：海马玩（安卓）、海马玩视频网站等产品，覆盖了电脑端（Win/Mac）、手机端（iOS/安卓）游戏及应用全平台，同时也是众多海外知名游戏公司国内首发渠道，为用户带来全新至尊体验，为应用带来精准海量推广，深得游戏玩家和游戏厂商信赖。 海马玩绝对是一家快速成长的公司：成立仅一年多，已经拥有超过1亿的用户玩家；成立仅一年多，公司已经发展到200人左右的规模。 我们承诺，将始终秉承互联网开放分享精神，对用户永久免费；我们承诺，致力于推进新应用体验，对应用开发者永远免费上架。 我们相信海誉动想必然是您展示才华的舞台，快来加入我们吧！欢迎访问公司产品官方网站： http://www.haimawan.com/海马玩宣传片：http://v.qq.com/page/j/e/e/j0168mi44ee.html
资深Web前端工程师,博南石管理咨询(上海)有限公司,36-48万24小时反馈,北京-海淀区,"Infosys Lodestone博南石管理咨询是Infosys 全资子公司，是一家咨询，技术及外包解决方案的全球领导者，目前在全球三十个国家有分支机构，全球顾问总数超过160,000人。Infosys Lodestone作为全球IT巨人Infosys的管理咨询分支，作为打通企业战略与执行之间的先驱，在为国际各类型企业提供从战略流程优化到IT信息系统的关键咨询服务，为企业带来显著的业务价值。  博南石是一家全球性的管理顾问咨询服务商，主要着眼于高阶商业咨询服务及SAP的咨询服务。公司所面对的客户主要是大型及中型企业，主要服务客户行业为生命科学, 化工与金融服务，汽车以及消费品，制造行业等。本公司为全球著名的跨国企业提供战略规划、设计和实施整体系统解决方案。通过本公司提供的优秀服务令很多企业在当今复杂而且具有挑战性的商业环境中取得成功。我们为客户提供可量化和实在的业务回报 – 这一切都有赖于我们优秀的具备丰富行业、管理业务和实施系统经验的顾问。我们公司的企业文化是：    “追求卓越，承诺交付”。我们所有的顾问都竭尽所能为用户提供更完美的服务。作为一个可信赖的咨询顾问伙伴，我们通过我们的服务赢得客户的信任，与客户建立长期的合作关系。在Infosys Lodestone你将找到国际化的文化，专注敬业的员工，友好而合作的环境以及周全的培训机会。Infosys Lodestone是一家为真正的顾问而存在的顾问公司。我们提供有吸引力的薪酬，奖金体系和福利，以及优异的职业晋升机会。www.infosyslodestone.com"
Front-End Developer 前端开发工程师,MullenLowe Profero 睿狮博斐,面议10天内反馈,北京-朝阳区,"Started 13 years ago in London,Mullenlowe Profero is one of the largest independent digital agencies in the world. We have over 600 talents across the globe in cities like New York, Sydney, Tokyo, Seoul, Singapore, London, Mumbai, Munich, Paris, Beijing, Shanghai and we’re still growing.With a combination of art & science, we create ideas that people want to belong to. Open your eyes, your mind and your portfolio to our distinguished client list that includes some top technology, retail, travel and FMGG companies in the world, such as Unilever, Diageo, P&G, Lufthansa, Media Market and more.You’ll also have opportunities to work with many world-class marketing strategists, artists and technologists from all over the world, to truly bring out your potential and make a difference, for ourselves, or our brand and for people.You can find out more about us on :www.mullenloweprofero.com"
资深前端HTML5开发工程师,麦肯·光明广告有限公司,18-22万10天内反馈,北京-朝阳区,"麦肯·光明广告有限公司是由美国麦肯世界集团(McCANN-ERICKSON WORLD GROUP)与《光明日报》社于1991年底合资组建的专业广告公司。公司的外方股东麦肯世界集团成立于1902 年，总部设在美国纽约，是全球著名的跨国4A广告公司之一。 麦肯世界集团是世界上最大最完善的广告服务网络系统之一，其投资建立的独资或合资广告公司遍布全球 131 个国家(地区)的 191个城市，业务涉及整合营销传播的各个领域，包括广告、直效行销/网络广告、活动行销、公共关系、品牌管理、保健行销及媒介购买等。今天的McCann-Erickson World Group是一个拥有263亿美元资产、全球员工人数达24,000名、保持着世界上最大最完善之一的广告服务网络系统的公司。 麦肯·光明广告有限公司是麦肯世界集团投资的第116个国家(地区)，目前在北京、上海、广州和香港有4个办公室，员工人数超过800人。营业额在国内广告界始终名列前茅。"
高级前端开发培训工程师,APICloud,12-24万5天内反馈,北京-海淀区,APICloud 是中国领先的“云端一体”的移动应用云服务提供商。APICloud信仰“云端一体”的理念，重新定义了移动应用开发。APICloud为开发者从“云”和“端”两个方向提供API，简化移动应用开发技术，让移动应用的开发周期从一个月缩短到7天。APICloud由“云API”和“端API”两部分组成，可以帮助开发者快速实现移动应用的开发、测试、发布、管理和运营的全生命周期管理。基于APICloud提供的“云API”和“端API”，开发者甚至可以忘记繁杂的服务端编码，也可以忘记复杂的ObjectC和Java，更可以忘记那数不清的屏幕适配。APICloud重新定义移动应用开发，帮开发者搞定一切。APICloud致力成为中国领先的移动垂直领域云服务商，帮助中国数百万web开发者转化成移动APP专家！我们的福利待遇： 工资水平—— 高于业内水平； 社会保险 —— 按北京市规定为每个员工缴纳养老保险、医疗保险、失业保险、工伤保险、生育保险； 公 积 金 —— 为每位员工缴纳公积金；  带薪休假 —— 享受国家规定的各类带薪休假； 年度体检 —— 互联网人士专享体检套餐； 员工活动 —— 旅游拓展，聚餐，K歌，电影、按摩、阅读、年终活动~~~员工生日 —— 公司赠送生日蛋糕，生日贺卡，生日礼物； 各种茶点 —— 公司内零食饮料、咖啡无限量供应；每日午后有新鲜水果提供；小伙伴们，快快加入吧！ 官方网站：http://www.apicloud.com
前端开发工程师-北京-00325,北京暴风魔镜科技有限公司,18-24万5天内反馈,北京,暴风魔镜是业界领先并专注于移动端的虚拟现实（Virtual Reality）企业，目前已在全球范围内拥有最大的用户规模，是全球第一家实现虚拟现实设备量产的公司。暴风魔镜认为VR 和AR将是下一个具有革命性意义的互联网趋势的核心，从创立之初就以产业布局为视角，努力推动整个行业发展，致力于为用户提供最好的虚拟现实体验，立足中国打造全球领先的虚拟现实企业。暴风魔镜是全球唯一一家具有最全面的综合性虚拟现实产业链平台的虚拟现实企业，其产品及业务涵盖VR硬件、VR&AR软件、开发平台、应用分发市场、收费及广告商业平台等。暴风魔镜公司推出的硬件产品涉及手机嵌入式虚拟现实头盔、一体机、线下体验机、全景拍摄设备等；基础软件包括适配配合VR头盔使用的安卓/iOS桌面系统；移动应用则包括自研的影院、漫游、UGC、PGC、SNS、SNG、三维以及AR等基础应用平台。暴风魔镜已经成为中国大部分VR游戏、全景等内容应用的合作连接中心并拥有大量独家合作资源。暴风魔镜成立的VR产业基金是中国第一家专注于VR产业的投资基金，目前已经投资了包括虚拟现实影视内容制作公司等在内的多家虚拟现实企业。
