Title,Company,Link,Location,Date,Company Id,Job Id
Ruby on Rails Developer - Top Salary + Innovative Env.,CyberCoders,"https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-%26%2345-Top-Salary-%2B-Innovative-Env.-CyberCoders-New-York-NY-10001/cybercod/KY1-12573411?icid=sr42-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 07:29:50 -0500,cybercod,KY1-12573411
Work with large ecommerce platforms and specialty Ruby dvlpmnt,CyberCoders,"https://www.dice.com/jobs/detail/Work-with-large-ecommerce-platforms-and-specialty-Ruby-dvlpmnt-CyberCoders-Morris-Plains-NJ-07950/cybercod/JN1-12552882?icid=sr43-1p&q=Ruby&l=Oakland, NJ","Morris Plains, NJ",2016-01-18 08:29:50 -0500,cybercod,JN1-12552882
"FullTime C# Developer with some Python, Perl, Ruby or PHP","TechnoSphere, Inc",http://www.dice.com/job/result/technosp/111389AA?icid=sr44-1p,"New York, NY",2016-01-15 18:29:50 -0500,technosp,111389AA
DevOps / Hadoop Engineer with Chef and Ruby (175-250k+),Gambit Technologies,"https://www.dice.com/jobs/detail/DevOps-%26%2347-Hadoop-Engineer-with-Chef-and-Ruby-%28175%26%2345250k%2B%29-Gambit-Technologies-New-York-NY-10001/10116662/NT838422422?icid=sr45-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 18:29:50 -0500,10116662,NT838422422
Senior Ruby on Rails Developer - Consultant,"One-To-One Staffing, Inc.","https://www.dice.com/jobs/detail/Senior-Ruby-on-Rails-Developer-%26%2345-Consultant-One%26%2345To%26%2345One-Staffing%2C-Inc.-New-York-NY-10022/MISKEY/194969?icid=sr46-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 18:29:50 -0500,MISKEY,194969
"SR. SOFTWARE ENGINEER -- $180k -- Ruby, Python, Node.JS",Gambit Technologies,"https://www.dice.com/jobs/detail/SR.-SOFTWARE-ENGINEER-%26%2345%26%2345-%24180k-%26%2345%26%2345-Ruby%2C-Python%2C-Node.JS-Gambit-Technologies-New-York-NY-10001/10116662/SD2452581124?icid=sr47-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 18:29:50 -0500,10116662,SD2452581124
Red Team / Attack Lead - Cyber Security,JPMorgan Chase,http://www.dice.com/job/result/10125746/150130548?icid=sr48-1p,"Jersey City, NJ",2016-01-15 18:29:50 -0500,10125746,150130548
"Senior Software Development Engineer ? Soap.com, Amazon Subsidiary",Amazon,"https://www.dice.com/jobs/detail/Senior-Software-Development-Engineer-%26%2363-Soap.com%2C-Amazon-Subsidiary-Amazon-Jersey-City-NJ-07097/10454092/331874?icid=sr49-1p&q=Ruby&l=Oakland, NJ","Jersey City, NJ",2016-01-18 05:29:50 -0500,10454092,331874
UX/UI Hybrid Salesforce Senior Developer - NYC,Deloitte,"https://www.dice.com/jobs/detail/UX%26%2347UI-Hybrid-Salesforce-Senior-Developer-%26%2345-NYC-Deloitte-New-York-NY-10001/10106525/22371002000006082?icid=sr50-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 07:29:50 -0500,10106525,22371002000006082
Senior Front-End Engineer - NYC,Deloitte,"https://www.dice.com/jobs/detail/Senior-Front%26%2345End-Engineer-%26%2345-NYC-Deloitte-New-York-NY-10001/10106525/20278402000006082?icid=sr51-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 07:29:50 -0500,10106525,20278402000006082
Systems Reliability Engineer,Bloomberg L.P.,"https://www.dice.com/jobs/detail/Systems-Reliability-Engineer-Bloomberg-L.P.-New-York-NY-10001/10432313/48441?icid=sr52-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 16:29:50 -0500,10432313,48441
"Sr. Web Developer ? Quidsi, Amazon Subsidiary",Amazon,"https://www.dice.com/jobs/detail/Sr.-Web-Developer-%26%2363-Quidsi%2C-Amazon-Subsidiary-Amazon-Jersey-City-NJ-07097/10454092/366964?icid=sr53-1p&q=Ruby&l=Oakland, NJ","Jersey City, NJ",2016-01-18 05:29:50 -0500,10454092,366964
Senior Software Development Engineer,Amazon,"https://www.dice.com/jobs/detail/Senior-Software-Development-Engineer-Amazon-Jersey-City-NJ-07097/10454092/363642?icid=sr54-1p&q=Ruby&l=Oakland, NJ","Jersey City, NJ",2016-01-18 05:29:50 -0500,10454092,363642
Software Developer - Fresher/ Experienced,ConsultAdd,"https://www.dice.com/jobs/detail/Software-Developer-%26%2345-Fresher%26%2347-Experienced-ConsultAdd-Jersey-City-NJ-07302/10504871/198353?icid=sr55-1p&q=Ruby&l=Oakland, NJ","Jersey City, NJ",2015-12-21 18:29:50 -0500,10504871,198353
DEVELOPER OPERATIONS H-1'S WELCOME,CPS Comtech,"https://www.dice.com/jobs/detail/DEVELOPER-OPERATIONS-H%26%23451%27S-WELCOME-CPS-Comtech-Manhattan-NY-10001/10369046/301406?icid=sr56-1p&q=Ruby&l=Oakland, NJ","Manhattan, NY",2016-01-18 12:29:50 -0500,10369046,301406
Web Site Reliability & Deployment Manager,TM Forum,"https://www.dice.com/jobs/detail/Web-Site-Reliability-%26-Deployment-Manager-TM-Forum-Morristown-NJ-07960/RTX15910e/335725?icid=sr57-1p&q=Ruby&l=Oakland, NJ","Morristown, NJ",2015-12-18 18:29:50 -0500,RTX15910e,335725
Entry level Developer,ConsultAdd,"https://www.dice.com/jobs/detail/Entry-level-Developer-ConsultAdd-New-York-City-NY-10005/10504871/198370?icid=sr58-1p&q=Ruby&l=Oakland, NJ","New York City, NY",2015-12-21 18:29:50 -0500,10504871,198370
Associate Software Engineer,Viacom,"https://www.dice.com/jobs/detail/Associate-Software-Engineer-Viacom-New-York-NY-10036/10217112A/309834?icid=sr59-1p&q=Ruby&l=Oakland, NJ","New York, NY",2015-12-28 18:29:50 -0500,10217112A,309834
"Sr. Rails Developer, NYT Cooking",The New York Times Company,"https://www.dice.com/jobs/detail/Sr.-Rails-Developer%2C-NYT-Cooking-The-New-York-Times-Company-New-York-NY-10018/RTL156430/22484?icid=sr60-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-04 18:29:50 -0500,RTL156430,22484
"Infrastructure Engineer, Cloud Platform",The New York Times Company,"https://www.dice.com/jobs/detail/Infrastructure-Engineer%2C-Cloud-Platform-The-New-York-Times-Company-New-York-NY-10018/RTL156430/23266?icid=sr61-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-04 18:29:50 -0500,RTL156430,23266
Enterprise Linux Systems Administrator,2 Bridge Partners,"https://www.dice.com/jobs/detail/Enterprise-Linux-Systems-Administrator-2-Bridge-Partners-New-York-NY-10018/90827581/047045?icid=sr62-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-12 18:29:50 -0500,90827581,047045
Sr. DevOps Engineer,HT Solutions,"https://www.dice.com/jobs/detail/Sr.-DevOps-Engineer-HT-Solutions-New-York-NY-10001/10205734/349332?icid=sr63-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 07:29:50 -0500,10205734,349332
Senior full Stack Engineer,CPS Comtech,"https://www.dice.com/jobs/detail/Senior-full-Stack-Engineer-CPS-Comtech-Manhattan-NY-10001/10369046/187187?icid=sr64-1p&q=Ruby&l=Oakland, NJ","Manhattan, NY",2016-01-18 12:29:50 -0500,10369046,187187
Software Developer (Entry level),ConsultAdd,"https://www.dice.com/jobs/detail/Software-Developer-%28Entry-level%29-ConsultAdd-New-York-NY-10007/10504871/264656?icid=sr65-1p&q=Ruby&l=Oakland, NJ","New York, NY",2015-12-21 18:29:50 -0500,10504871,264656
"Sr. Infrastructure Engineer, Infrastructure Services",The New York Times Company,"https://www.dice.com/jobs/detail/Sr.-Infrastructure-Engineer%2C-Infrastructure-Services-The-New-York-Times-Company-New-York-NY-10018/RTL156430/22966?icid=sr66-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-04 18:29:50 -0500,RTL156430,22966
Software Engineer,Career Techniques,http://www.dice.com/job/result/10314525/JMSoftEng?icid=sr67-1p,"New York, NY",2016-01-18 07:29:50 -0500,10314525,JMSoftEng
Software Developer,ConsultAdd,"https://www.dice.com/jobs/detail/Software-Developer-ConsultAdd-New-York-City-NY-10005/10504871/243585?icid=sr68-1p&q=Ruby&l=Oakland, NJ","New York City, NY",2015-12-21 18:29:50 -0500,10504871,243585
Cloud Architect - Houston and NYC,Bridge Technologies and Solutions,http://www.dice.com/job/result/10397847/330505?icid=sr69-1p,"New York, NY",2016-01-13 18:29:50 -0500,10397847,330505
QA Engineer,MW Partners LLC,"https://www.dice.com/jobs/detail/QA-Engineer-MW-Partners-LLC-New-York-NY-10036/10409917/361643?icid=sr70-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-15 18:29:50 -0500,10409917,361643
Senior Systems Engineer,Intercontinental Exchange,"https://www.dice.com/jobs/detail/Senior-Systems-Engineer-Intercontinental-Exchange-New-York-NY-10001/10123334/oNbY0fwG?icid=sr71-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 04:29:50 -0500,10123334,oNbY0fwG
Web Developer,CyberCoders,"https://www.dice.com/jobs/detail/Web-Developer-CyberCoders-Brooklyn-NY-11201/cybercod/CY1-1218124-Shopify31?icid=sr72-1p&q=Ruby&l=Oakland, NJ","Brooklyn, NY",2016-01-18 08:29:50 -0500,cybercod,CY1-1218124-Shopify31
"DevOps Engineer - Linux, AWS (EC2 / EBS / S3 / VPC / RDS / IAM /",CyberCoders,"https://www.dice.com/jobs/detail/DevOps-Engineer-%26%2345-Linux%2C-AWS-%28EC2-%26%2347-EBS-%26%2347-S3-%26%2347-VPC-%26%2347-RDS-%26%2347-IAM-%26%2347-CyberCoders-New-York-NY-10001/cybercod/KS3-124679410?icid=sr73-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:50 -0500,cybercod,KS3-124679410
Senior Front End Developer,CyberCoders,"https://www.dice.com/jobs/detail/Senior-Front-End-Developer-CyberCoders-New-York-NY-10001/cybercod/RK3-12546023?icid=sr74-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:50 -0500,cybercod,RK3-12546023
Support Engineer,CyberCoders,"https://www.dice.com/jobs/detail/Support-Engineer-CyberCoders-New-York-NY-10001/cybercod/DR1-12495008?icid=sr75-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:50 -0500,cybercod,DR1-12495008
Lead Mobile Build Engineer,Capital Markets Placement,"https://www.dice.com/jobs/detail/Lead-Mobile-Build-Engineer-Capital-Markets-Placement-New-York-NY-10001/10120548/3593?icid=sr76-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:50 -0500,10120548,3593
Principal ROR Engineer,CyberCoders,"https://www.dice.com/jobs/detail/Principal-ROR-Engineer-CyberCoders-New-York-NY-10001/cybercod/MM4-12565972?icid=sr77-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:50 -0500,cybercod,MM4-12565972
Web Developer,Robert Half Technology,"https://www.dice.com/jobs/detail/Web-Developer-Robert-Half-Technology-New-York-NY-10115/rhalfint/02940-154264?icid=sr78-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 16:29:50 -0500,rhalfint,02940-154264
Software Development In Test Engineer,Mosaic Solutions LLC.,"https://www.dice.com/jobs/detail/Software-Development-In-Test-Engineer-Mosaic-Solutions-LLC.-New-York-NY-10018/10120113/357343?icid=sr79-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-13 18:29:50 -0500,10120113,357343
Applications Engineer,"Medidata Solutions, Inc.","https://www.dice.com/jobs/detail/Applications-Engineer-Medidata-Solutions%2C-Inc.-New-York-NY-10014/10108889/355280?icid=sr80-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-14 18:29:50 -0500,10108889,355280
